File Name,e_magic,e_cblp,e_cp,e_crlc,e_cparhdr,e_minalloc,e_maxalloc,e_ss,e_sp,e_csum,e_csum,e_ip,e_cs,e_lfarlc,e_ovno,e_oemid,e_oeminfo,e_lfanew,Machine,NumberOfSections,TimeDateStamp,PointerToSymbolTable,NumberOfSymbols,SizeOfOptionalHeader,Characteristics,Magic,MajorLinkerVersion,MinorLinkerVersion,SizeOfCode,SizeOfInitializedData,SizeOfUninitializedData,AddressOfEntryPoint,BaseOfCode,ImageBase,SectionAlignment,FileAlignment,MajorOperatingSystemVersion,MinorOperatingSystemVersion,MajorImageVersion,MinorImageVersion,MajorSubsystemVersion,MinorSubsystemVersion,SizeOfHeaders,CheckSum,SizeOfImage,Subsystem,DllCharacteristics,SizeOfStackReserve,SizeOfStackCommit,SizeOfHeapReserve,SizeOfHeapCommit,LoaderFlags,NumberOfRvaAndSizes,SubsystemImageDirectoryEntryExport,ImageDirectoryEntryImport,ImageDirectoryEntryResource,ImageDirectoryEntryException,ImageDirectoryEntrySecurity,ImageDirectoryEntrySecurity,DirectoryEntryImport,DirectoryEntryImport,DirectoryEntryImportSize,DirectoryEntryExport,ImageDirectoryEntryExport
/home/tienloc/lab6/DikeDataset/files/malware/2c1487a61bbcd807564589279cd4314b866c6444198affa0a3d5432b88dcceb8.exe,23117,80,2,0,4,15,65535,0,0,0,0,0,0,64,26,0,0,124,332,4,1305462840,0,0,224,271,267,10,0,9216,357376,0,7504,4096,4194304,4096,512,4,0,0,0,4,0,1024,0,823296,2,0,1048576,4096,1048576,4096,0,16,,16556,466944,0,0,0,16556,16556,100,0,0
/home/tienloc/lab6/DikeDataset/files/malware/1dffd1a3003bc229dd78d26c77bb5164c33989baffd55126a55abb1e9f346a51.exe,23117,144,3,0,4,0,65535,0,184,0,0,0,0,64,0,0,0,232,332,4,1343811892,0,0,224,258,267,10,0,39424,97280,0,20799,4096,4194304,4096,512,5,1,0,0,5,1,1024,96237,159744,2,33088,1048576,4096,1048576,4096,0,16,,147456,45056,0,0,0,147456,147456,10752,0,0
/home/tienloc/lab6/DikeDataset/files/malware/2b5940e9bc576274ac49adcf153a04328b21d3a6db10d0c0156025f380d0a722.exe,23117,80,2,0,4,15,65535,0,0,0,0,0,0,64,26,0,0,124,332,4,1305462840,0,0,224,271,267,10,0,9216,357376,0,7728,4096,4194304,4096,512,4,0,0,0,4,0,1024,0,823296,2,0,1048576,4096,1048576,4096,0,16,,16556,466944,0,0,0,16556,16556,100,0,0
/home/tienloc/lab6/DikeDataset/files/malware/1b920917d858ee7dff3821619d5999960c5b1320f232b4aa8ab074b894d079e7.exe,23117,144,3,0,4,0,65535,0,184,0,0,0,0,64,0,0,0,224,332,4,1333306647,0,0,224,271,267,7,0,20480,423234,397312,6021,4096,4259840,4096,4096,4,0,0,0,4,0,4096,506772,856064,2,0,1048576,4096,1048576,4096,0,16,,124908,823296,0,0,0,124908,124908,120,0,0
/home/tienloc/lab6/DikeDataset/files/malware/0d98e2b2f8be68dc81bddc7c705ae2b25f5697748c35a665ed76b5e4f367c51b.exe,23117,144,3,0,4,0,65535,0,184,0,0,0,0,64,0,0,0,608,332,6,1209742467,0,0,224,258,267,9,0,60928,371200,0,427070,1536,65536,512,512,6,1,6,1,5,1,1536,437752,433664,1,0,262144,4096,1048576,4096,0,16,,427088,428032,0,0,0,427088,427088,60,0,0
/home/tienloc/lab6/DikeDataset/files/malware/2675b302d94994fdb66eb3d734e282c59b518f79f6a9d5a385050d624956b560.exe,23117,144,3,0,4,0,65535,0,184,0,0,0,0,64,0,0,0,216,332,4,1335210826,0,0,224,271,267,7,0,28672,425984,245760,7014,4096,4259840,4096,4096,4,0,0,0,4,0,4096,497730,991232,2,0,1048576,4096,1048576,4096,0,16,,36836,819200,0,0,0,36836,36836,120,0,0
/home/tienloc/lab6/DikeDataset/files/malware/01c1a9179258495d08e017d721fc82c7fa8e09f29fa34411b590763e14312dc5.exe,23117,144,3,0,4,0,65535,0,184,0,0,0,0,64,0,0,0,224,332,4,1331931721,0,0,224,271,267,7,0,98304,254687,434176,83039,4096,4259840,4096,4096,4,0,0,0,4,0,4096,407707,806912,2,0,1048576,4096,1048576,4096,0,16,,106524,757760,0,0,0,106524,106524,100,0,0
/home/tienloc/lab6/DikeDataset/files/malware/233963cb511540091e199dbeaf48ba4b3a79d59b724fec930ecd99a699d8e0c0.exe,23117,144,3,0,4,0,65535,0,184,0,0,0,0,64,0,0,0,240,332,4,1146814278,0,0,224,259,267,10,0,8704,27136,0,9441,4096,4194304,4096,512,5,1,0,0,5,1,1024,68362,49152,2,33088,1048576,4096,1048576,4096,0,16,,17444,24576,0,0,0,17444,17444,140,0,0
/home/tienloc/lab6/DikeDataset/files/malware/19ed4c9971521d0dae62b20141eb49fc9c9c834391ad99a61d21b08d216a7768.exe,23117,144,3,0,4,0,65535,0,184,0,0,0,0,64,0,0,0,216,332,4,1336070656,0,0,224,271,267,7,0,32768,434176,405504,6980,4096,4259840,4096,4096,4,0,0,0,4,0,4096,508563,819200,2,0,1048576,4096,1048576,4096,0,16,,41172,798720,0,0,0,41172,41172,140,0,0
/home/tienloc/lab6/DikeDataset/files/malware/349963ec365323332261aa6bf6a0f73796f803c243851248fe1519a665f473b2.exe,23117,144,3,0,4,0,65535,0,184,0,0,0,0,64,0,0,0,232,332,4,1332675903,0,0,224,271,267,7,0,94208,307678,491520,76137,4096,4259840,4096,4096,4,0,0,0,4,0,4096,455793,913408,2,0,1048576,4096,1048576,4096,0,16,,102148,811008,0,0,0,102148,102148,60,0,0
